age,ed,employ,address,income,debtinc,creddebt,othdebt,default
41,3,17,12,176.000000,9.300000,11.359392,5.008608,1
27,1,10,6,31.000000,17.300000,1.362202,4.000798,0
40,1,15,14,55.000000,5.500000,0.856075,2.168925,0
41,1,15,14,120.000000,2.900000,2.658720,0.821280,0
24,2,2,0,28.000000,17.300000,1.787436,3.056564,1
41,2,5,5,25.000000,10.200000,0.392700,2.157300,0
39,1,20,9,67.000000,30.600000,3.833874,16.668126,0
43,1,12,11,38.000000,3.600000,0.128592,1.239408,0
24,1,3,4,19.000000,24.400000,1.358348,3.277652,1
36,1,0,13,25.000000,19.700000,2.777700,2.147300,0
27,1,0,1,16.000000,1.700000,0.182512,0.089488,0
25,1,4,0,23.000000,5.200000,0.252356,0.943644,0
52,1,24,14,64.000000,10.000000,3.929600,2.470400,0
37,1,6,9,29.000000,16.300000,1.715901,3.011099,0
48,1,22,15,100.000000,9.100000,3.703700,5.396300,0
36,2,9,6,49.000000,8.600000,0.817516,3.396484,1
36,2,13,6,41.000000,16.400000,2.918216,3.805784,1
43,1,23,19,72.000000,7.600000,1.181952,4.290048,0
39,1,6,9,61.000000,5.700000,0.563274,2.913726,0
41,3,0,21,26.000000,1.700000,0.099008,0.342992,0
39,1,22,3,52.000000,3.200000,1.154816,0.509184,0
47,1,17,21,43.000000,5.600000,0.587552,1.820448,0
28,1,3,6,26.000000,10.000000,0.431600,2.168400,0
29,1,8,6,27.000000,9.800000,0.402192,2.243808,0
21,2,1,2,16.000000,18.000000,0.241920,2.638080,1
25,4,0,2,32.000000,17.600000,2.140160,3.491840,0
45,2,9,26,69.000000,6.700000,0.707319,3.915681,0
43,1,25,21,64.000000,16.700000,0.951232,9.736768,0
33,2,12,8,58.000000,18.400000,3.084208,7.587792,0
26,3,2,1,37.000000,14.200000,0.204906,5.049094,0
45,1,3,15,20.000000,2.100000,0.105000,0.315000,0
30,1,1,10,22.000000,10.500000,1.138830,1.171170,0
27,3,2,7,26.000000,6.000000,0.722280,0.837720,0
25,1,8,4,27.000000,14.400000,1.018656,2.869344,0
25,1,8,1,35.000000,2.900000,0.077140,0.937860,0
26,2,6,7,45.000000,26.000000,6.048900,5.651100,0
30,2,10,4,22.000000,16.100000,1.409716,2.132284,0
32,2,12,1,54.000000,14.400000,3.195936,4.580064,0
28,2,1,8,24.000000,17.100000,1.337904,2.766096,1
45,1,23,5,50.000000,4.200000,0.558600,1.541400,0
23,1,7,2,31.000000,6.600000,0.337590,1.708410,0
34,1,17,3,59.000000,8.000000,1.807760,2.912240,0
42,2,7,23,41.000000,4.600000,0.941114,0.944886,0
39,1,19,5,48.000000,13.100000,1.930416,4.357584,0
26,1,0,0,14.000000,7.500000,0.302400,0.747600,1
21,2,0,1,16.000000,6.800000,0.150144,0.937856,0
35,1,13,15,35.000000,4.500000,0.431550,1.143450,0
47,1,4,2,26.000000,10.400000,0.121680,2.582320,0
23,2,0,2,21.000000,11.400000,0.775656,1.618344,1
35,1,18,2,42.000000,7.400000,0.205128,2.902872,0
34,1,2,11,25.000000,12.600000,0.573300,2.576700,1
46,1,1,12,20.000000,14.000000,0.809200,1.990800,0
46,1,16,18,52.000000,12.900000,3.032016,3.675984,1
38,3,3,18,25.000000,3.700000,0.311725,0.613275,0
40,2,3,2,28.000000,9.500000,0.553280,2.106720,0
37,1,1,3,24.000000,15.100000,1.801128,1.822872,1
35,1,9,1,34.000000,5.000000,0.397800,1.302200,0
39,2,16,13,69.000000,2.400000,1.061496,0.594504,0
40,3,18,6,100.000000,2.500000,1.485000,1.015000,0
50,3,10,20,80.000000,12.200000,2.479040,7.280960,0
31,1,9,10,28.000000,2.400000,0.047712,0.624288,0
29,1,13,1,42.000000,7.400000,1.457652,1.650348,1
37,1,4,0,23.000000,12.400000,0.869860,1.982140,0
33,2,4,9,55.000000,7.000000,2.159850,1.690150,0
26,2,5,7,28.000000,7.800000,1.024296,1.159704,0
32,2,11,6,75.000000,23.300000,7.758900,9.716100,1
28,2,2,3,23.000000,6.400000,0.186944,1.285056,1
39,1,19,8,46.000000,9.100000,2.515786,1.670214,0
28,2,8,3,31.000000,8.200000,1.492154,1.049846,1
29,1,1,2,20.000000,18.600000,0.569160,3.150840,1
34,2,3,8,21.000000,23.100000,1.401939,3.449061,0
28,2,5,9,34.000000,23.800000,3.099236,4.992764,0
47,1,26,21,100.000000,12.800000,4.582400,8.217600,0
43,4,1,5,26.000000,10.600000,1.518556,1.237444,0
41,1,13,10,44.000000,1.700000,0.071060,0.676940,0
47,1,13,25,51.000000,23.800000,3.738504,8.399496,0
24,1,2,1,21.000000,0.600000,0.025074,0.100926,0
29,1,1,9,17.000000,6.700000,0.157182,0.981818,0
33,1,14,2,37.000000,2.600000,0.199134,0.762866,0
36,1,15,10,39.000000,3.200000,0.686400,0.561600,0
26,1,4,3,27.000000,10.500000,2.472120,0.362880,1
31,1,11,12,45.000000,17.000000,2.738700,4.911300,0
37,1,7,3,32.000000,19.600000,2.696960,3.575040,0
35,4,4,16,29.000000,11.000000,1.843820,1.346180,0
26,1,4,3,20.000000,5.400000,0.318600,0.761400,0
40,1,10,15,45.000000,18.800000,2.013480,6.446520,0
29,2,5,4,36.000000,12.400000,3.490848,0.973152,1
37,3,5,17,29.000000,24.600000,1.405398,5.728602,0
32,1,12,12,28.000000,2.900000,0.116116,0.695884,0
23,2,0,1,17.000000,27.700000,2.043706,2.665294,1
32,1,3,10,23.000000,6.200000,0.052762,1.373238,0
25,1,1,6,15.000000,11.400000,0.371070,1.338930,1
38,1,5,5,54.000000,10.600000,1.499688,4.224312,0
32,2,0,6,18.000000,5.800000,0.296496,0.747504,1
41,3,2,0,15.000000,26.300000,1.960665,1.984335,1
36,1,17,6,54.000000,4.400000,0.727056,1.648944,0
42,3,13,0,82.000000,3.300000,1.315116,1.390884,0
41,1,14,8,52.000000,7.300000,0.926224,2.869776,0
29,2,4,9,19.000000,6.300000,0.681093,0.515907,0
38,3,4,6,31.000000,9.300000,1.331946,1.551054,1
39,1,22,9,113.000000,2.600000,0.987168,1.950832,0
36,1,6,9,26.000000,8.300000,0.030212,2.127788,0
33,1,8,7,27.000000,5.800000,0.776736,0.789264,0
42,2,21,11,121.000000,3.100000,1.365364,2.385636,0
41,2,22,17,75.000000,23.600000,9.876600,7.823400,0
40,1,8,17,28.000000,3.600000,0.534240,0.473760,0
53,1,9,18,50.000000,11.200000,2.016000,3.584000,1
28,1,4,7,26.000000,13.500000,1.295190,2.214810,0
36,2,12,13,60.000000,7.900000,1.720620,3.019380,0
34,2,9,13,45.000000,10.100000,1.118070,3.426930,0
45,3,2,5,39.000000,4.900000,0.458640,1.452360,0
38,1,6,0,41.000000,8.900000,0.266377,3.382623,0
21,3,0,2,24.000000,7.700000,0.833448,1.014552,0
42,1,12,11,51.000000,21.400000,2.411994,8.502006,0
52,1,16,25,64.000000,8.600000,1.865856,3.638144,0
25,2,4,6,33.000000,5.200000,0.552552,1.163448,0
34,2,9,9,65.000000,6.200000,2.107690,1.922310,0
40,2,15,16,73.000000,3.400000,1.032512,1.449488,0
31,2,0,4,27.000000,12.800000,1.088640,2.367360,1
25,1,1,0,20.000000,6.700000,0.471680,0.868320,1
45,1,12,19,37.000000,9.500000,1.342730,2.172270,0
23,1,3,0,19.000000,8.400000,0.279300,1.316700,1
34,4,6,3,27.000000,35.300000,1.982448,7.548552,1
31,1,2,4,22.000000,12.700000,1.092454,1.701546,1
28,1,5,9,22.000000,2.800000,0.140448,0.475552,0
41,1,7,11,43.000000,4.400000,0.694364,1.197636,0
39,2,7,2,68.000000,13.000000,1.016600,7.823400,1
29,2,9,3,36.000000,1.400000,0.127008,0.376992,0
21,1,5,1,25.000000,9.000000,0.366750,1.883250,0
41,2,19,2,68.000000,5.800000,1.506608,2.437392,0
26,4,1,7,27.000000,2.900000,0.311634,0.471366,0
33,1,5,10,18.000000,12.900000,0.984528,1.337472,0
45,2,18,19,35.000000,17.400000,0.548100,5.541900,0
39,1,17,20,60.000000,13.700000,2.449560,5.770440,0
24,1,7,2,21.000000,6.300000,0.519939,0.803061,0
29,2,6,7,57.000000,2.200000,0.452694,0.801306,0
27,2,1,0,23.000000,12.400000,0.285200,2.566800,0
40,1,13,2,28.000000,5.900000,0.964768,0.687232,0
29,1,8,10,24.000000,6.700000,0.469536,1.138464,0
29,2,4,3,37.000000,6.600000,1.159950,1.282050,1
24,1,0,2,16.000000,16.000000,1.008640,1.551360,1
27,1,9,6,45.000000,17.800000,2.851560,5.158440,1
41,3,16,22,135.000000,4.400000,1.277100,4.662900,0
31,1,11,8,25.000000,9.100000,0.141050,2.133950,0
41,1,16,17,68.000000,5.400000,0.447984,3.224016,0
42,2,5,3,41.000000,3.400000,0.355470,1.038530,0
28,4,1,3,26.000000,12.400000,0.377208,2.846792,0
30,4,2,8,25.000000,10.000000,1.770000,0.730000,0
30,1,11,1,33.000000,8.400000,0.681912,2.090088,0
31,1,8,4,44.000000,8.000000,1.721280,1.798720,0
45,2,15,14,51.000000,18.100000,1.550808,7.680192,0
43,1,13,23,76.000000,6.100000,2.151104,2.484896,1
36,1,4,10,23.000000,16.300000,1.327146,2.421854,0
28,1,8,6,30.000000,7.200000,0.613440,1.546560,0
27,2,3,5,33.000000,13.200000,1.633500,2.722500,0
36,3,13,3,39.000000,19.200000,2.800512,4.687488,0
33,1,12,11,32.000000,11.300000,2.104512,1.511488,0
54,1,9,2,28.000000,14.800000,1.558144,2.585856,1
33,1,9,4,29.000000,13.800000,1.348674,2.653326,1
31,1,9,5,26.000000,4.500000,0.310050,0.859950,0
21,1,4,0,26.000000,8.900000,1.420796,0.893204,0
28,3,5,9,44.000000,8.700000,0.773256,3.054744,0
31,2,2,1,26.000000,6.800000,0.282880,1.485120,1
32,1,8,6,26.000000,4.100000,0.326196,0.739804,0
35,2,1,8,24.000000,12.500000,0.591000,2.409000,1
40,2,13,11,102.000000,18.900000,6.226794,13.051206,1
22,1,4,2,24.000000,15.600000,1.636128,2.107872,1
39,1,4,9,38.000000,6.500000,1.178190,1.291810,0
41,4,14,3,44.000000,1.700000,0.353056,0.394944,0
34,1,16,9,79.000000,4.000000,1.734840,1.425160,0
29,1,7,9,22.000000,9.700000,0.550572,1.583428,0
31,1,4,10,28.000000,11.300000,0.291088,2.872912,0
32,1,1,0,20.000000,4.800000,0.314880,0.645120,1
32,1,14,7,73.000000,8.800000,3.751616,2.672384,0
33,1,6,14,21.000000,7.500000,0.567000,1.008000,0
26,1,6,0,22.000000,10.300000,0.720588,1.545412,0
21,1,1,1,18.000000,17.300000,0.158814,2.955186,0
28,2,7,2,34.000000,7.000000,0.359380,2.020620,0
37,1,13,5,24.000000,8.900000,0.602352,1.533648,0
33,2,2,14,35.000000,22.900000,2.123975,5.891025,1
39,1,12,10,46.000000,5.000000,0.561200,1.738800,0
40,2,8,19,57.000000,5.600000,0.877800,2.314200,0
45,3,16,21,80.000000,3.000000,0.912000,1.488000,0
27,1,10,6,34.000000,6.500000,0.850850,1.359150,0
28,4,0,7,29.000000,24.200000,1.424654,5.593346,0
39,1,13,9,27.000000,8.000000,0.965520,1.194480,0
40,1,14,21,43.000000,15.000000,2.792850,3.657150,1
27,1,11,8,56.000000,16.900000,4.637360,4.826640,0
36,1,1,4,16.000000,9.300000,0.433008,1.054992,0
55,1,19,2,78.000000,15.600000,4.404816,7.763184,0
27,2,4,3,22.000000,13.200000,1.086096,1.817904,1
30,1,1,8,17.000000,11.000000,0.746130,1.123870,0
36,1,10,0,28.000000,11.200000,0.815360,2.320640,1
31,1,1,6,21.000000,2.500000,0.277200,0.247800,1
33,2,13,2,40.000000,7.200000,0.181440,2.698560,0
30,1,4,0,33.000000,4.200000,0.500346,0.885654,0
24,1,1,0,18.000000,5.900000,0.238950,0.823050,1
33,4,9,10,28.000000,4.300000,0.376852,0.827148,0
50,1,8,27,47.000000,6.900000,0.398889,2.844111,0
31,2,6,6,32.000000,23.100000,3.341184,4.050816,1
28,1,3,7,19.000000,4.100000,0.260965,0.518035,0
44,3,8,10,88.000000,6.100000,0.284504,5.083496,1
48,4,3,23,45.000000,9.800000,0.974610,3.435390,0
36,2,0,17,30.000000,9.700000,0.328830,2.581170,0
29,3,7,1,63.000000,5.500000,0.571725,2.893275,0
40,3,17,11,116.000000,6.000000,2.561280,4.398720,0
33,1,7,6,26.000000,6.000000,0.542880,1.017120,0
26,2,6,6,30.000000,1.000000,0.143700,0.156300,0
36,1,14,11,81.000000,7.200000,1.784592,4.047408,0
26,2,6,0,35.000000,1.900000,0.085785,0.579215,0
40,3,16,6,116.000000,12.100000,1.614140,12.421860,0
44,1,5,3,48.000000,9.000000,1.969920,2.350080,1
29,3,1,10,30.000000,4.500000,0.279450,1.070550,0
35,3,5,3,37.000000,5.400000,0.581418,1.416582,1
34,1,16,3,75.000000,10.400000,3.954600,3.845400,0
34,3,12,8,47.000000,6.700000,1.300537,1.848463,0
46,1,14,25,35.000000,10.200000,1.349460,2.220540,0
41,2,21,22,145.000000,12.200000,3.237270,14.452730,0
27,2,7,8,30.000000,4.000000,0.447600,0.752400,1
27,4,0,6,70.000000,8.000000,1.618400,3.981600,1
28,1,11,6,24.000000,2.400000,0.107136,0.468864,0
48,3,0,27,19.000000,10.800000,0.849528,1.202472,0
48,3,17,26,113.000000,12.000000,3.376440,10.183560,0
29,3,5,6,70.000000,19.900000,3.176040,10.753960,1
43,2,9,5,60.000000,20.400000,4.039200,8.200800,1
23,1,5,2,17.000000,7.900000,0.302175,1.040825,0
29,2,10,8,44.000000,18.100000,3.703260,4.260740,0
40,4,5,6,75.000000,1.900000,0.884925,0.540075,0
22,2,0,3,20.000000,5.600000,0.207200,0.912800,0
23,1,7,3,22.000000,14.400000,0.849024,2.318976,0
46,3,9,10,60.000000,15.300000,1.606500,7.573500,0
55,1,3,11,40.000000,8.000000,0.563200,2.636800,1
38,2,8,16,38.000000,0.600000,0.029412,0.198588,0
35,2,5,1,33.000000,2.800000,0.103488,0.820512,0
30,1,11,9,27.000000,0.900000,0.073872,0.169128,0
24,1,7,0,18.000000,6.500000,0.526500,0.643500,0
26,2,4,3,28.000000,9.500000,0.226100,2.433900,0
32,2,2,11,15.000000,9.100000,0.118755,1.246245,1
37,2,11,4,75.000000,3.500000,0.632625,1.992375,0
39,1,6,19,42.000000,19.900000,2.540832,5.817168,1
30,2,4,4,21.000000,18.300000,0.491904,3.351096,0
30,1,10,11,39.000000,9.500000,2.056275,1.648725,0
32,2,7,10,32.000000,4.300000,0.433440,0.942560,0
54,3,21,20,118.000000,14.400000,9.600480,7.391520,0
27,3,3,4,35.000000,13.300000,1.601320,3.053680,0
31,1,12,4,31.000000,23.700000,2.057160,5.289840,0
39,1,15,16,39.000000,1.800000,0.139698,0.562302,0
31,1,5,3,25.000000,14.100000,1.177350,2.347650,0
35,1,15,11,40.000000,18.500000,1.213600,6.186400,0
35,2,10,16,98.000000,13.300000,4.874716,8.159284,0
46,2,22,17,144.000000,11.100000,3.324672,12.659328,0
33,1,13,3,52.000000,21.300000,2.713620,8.362380,1
35,2,13,3,105.000000,1.900000,1.418445,0.576555,0
35,2,1,1,21.000000,7.900000,0.369957,1.289043,0
38,1,5,13,21.000000,9.000000,0.449820,1.440180,0
41,1,19,1,96.000000,7.800000,2.253888,5.234112,0
38,1,18,19,44.000000,4.500000,0.605880,1.374120,0
34,3,2,14,39.000000,13.200000,1.142856,4.005144,0
51,3,16,25,82.000000,4.400000,2.604976,1.003024,0
34,2,10,2,33.000000,9.500000,0.573705,2.561295,0
47,1,15,1,30.000000,24.500000,2.212350,5.137650,0
34,2,8,6,78.000000,5.400000,2.156544,2.055456,0
27,2,8,7,18.000000,11.900000,0.400554,1.741446,0
52,1,9,11,24.000000,19.200000,0.801792,3.806208,1
39,1,9,6,35.000000,5.000000,0.232750,1.517250,0
33,1,7,0,22.000000,6.400000,0.630784,0.777216,0
34,1,0,1,21.000000,7.200000,0.187488,1.324512,0
31,3,9,7,59.000000,14.600000,3.109654,5.504346,1
28,1,2,9,16.000000,15.200000,0.870656,1.561344,0
39,1,19,16,45.000000,3.700000,0.915750,0.749250,0
51,2,22,23,120.000000,7.600000,4.140480,4.979520,0
22,1,4,1,16.000000,1.200000,0.084480,0.107520,0
27,3,6,4,26.000000,10.400000,0.930176,1.773824,0
32,1,16,10,38.000000,21.000000,0.694260,7.285740,0
28,2,6,7,38.000000,7.200000,0.774288,1.961712,0
27,2,1,0,20.000000,10.300000,0.376980,1.683020,1
26,2,2,6,24.000000,13.600000,1.576512,1.687488,1
32,1,14,0,36.000000,2.400000,0.273024,0.590976,0
30,1,0,11,17.000000,3.700000,0.446590,0.182410,1
39,1,13,1,38.000000,8.900000,1.897302,1.484698,0
31,1,11,6,28.000000,4.800000,0.345408,0.998592,1
34,1,15,2,39.000000,24.700000,4.373382,5.259618,1
31,1,8,3,41.000000,12.600000,0.134316,5.031684,0
29,2,1,7,25.000000,10.400000,0.569400,2.030600,0
29,1,9,0,25.000000,13.900000,1.070300,2.404700,0
35,2,9,16,30.000000,7.600000,0.649800,1.630200,0
29,1,11,7,32.000000,6.000000,0.927360,0.992640,0
38,2,2,16,22.000000,22.700000,1.208548,3.785452,1
35,1,16,15,36.000000,3.400000,0.178704,1.045296,0
29,1,11,5,36.000000,6.100000,0.709308,1.486692,0
23,2,3,4,34.000000,4.400000,0.261800,1.234200,0
33,4,9,8,32.000000,5.500000,0.496320,1.263680,0
51,2,19,25,159.000000,2.800000,1.068480,3.383520,0
24,1,4,2,21.000000,2.600000,0.099372,0.446628,0
31,1,10,12,49.000000,9.800000,3.236548,1.565452,1
45,1,10,14,52.000000,5.400000,0.932256,1.875744,0
29,1,3,1,17.000000,9.000000,0.469710,1.060290,0
34,1,0,10,20.000000,17.100000,2.048580,1.371420,0
25,2,4,5,27.000000,5.000000,0.549450,0.800550,1
37,1,20,2,56.000000,1.900000,0.542640,0.521360,0
47,1,29,18,129.000000,25.300000,20.561310,12.075690,1
43,2,6,24,54.000000,9.600000,0.622080,4.561920,0
47,1,22,19,81.000000,5.500000,1.505790,2.949210,0
24,1,6,2,21.000000,5.200000,0.108108,0.983892,0
27,3,5,1,75.000000,6.300000,2.206575,2.518425,0
25,1,9,4,18.000000,1.200000,0.065880,0.150120,0
36,3,11,12,44.000000,14.700000,0.446292,6.021708,0
39,1,16,20,57.000000,19.400000,1.559178,9.498822,0
26,1,10,1,25.000000,7.100000,1.306400,0.468600,0
41,1,4,19,25.000000,10.100000,1.060500,1.464500,0
39,1,19,15,60.000000,27.100000,9.593400,6.666600,1
37,1,18,8,54.000000,12.100000,4.593402,1.940598,0
29,1,2,0,14.000000,14.400000,0.586656,1.429344,1
42,1,6,9,31.000000,11.600000,1.024860,2.571140,0
31,4,1,6,29.000000,11.100000,1.065489,2.153511,0
36,1,4,15,17.000000,17.300000,0.520557,2.420443,0
39,1,16,4,52.000000,20.000000,4.160000,6.240000,0
23,4,0,2,23.000000,6.700000,0.468464,1.072536,0
39,1,4,15,33.000000,7.000000,0.397320,1.912680,0
27,3,4,1,40.000000,3.100000,0.283960,0.956040,1
24,1,8,4,24.000000,5.000000,0.381600,0.818400,0
27,3,3,4,45.000000,11.000000,0.292050,4.657950,1
41,1,16,22,49.000000,1.600000,0.431200,0.352800,0
38,1,0,8,23.000000,8.100000,0.897966,0.965034,1
40,2,5,12,35.000000,16.400000,1.584240,4.155760,1
54,1,25,12,120.000000,26.500000,14.596200,17.203800,1
40,1,12,6,89.000000,17.400000,2.771994,12.714006,0
40,1,2,4,32.000000,3.700000,0.853664,0.330336,0
29,1,1,8,31.000000,8.000000,0.156240,2.323760,0
30,1,8,6,23.000000,12.000000,0.761760,1.998240,0
29,1,1,1,18.000000,1.100000,0.029898,0.168102,0
29,3,3,3,50.000000,2.400000,0.259200,0.940800,1
28,4,2,4,41.000000,2.500000,0.459200,0.565800,1
28,4,0,5,38.000000,10.400000,0.636272,3.315728,0
39,2,16,9,89.000000,14.300000,5.001711,7.725289,0
32,1,11,2,53.000000,3.300000,0.089199,1.659801,0
36,2,7,16,43.000000,15.400000,2.648800,3.973200,0
39,1,20,12,39.000000,8.200000,0.773916,2.424084,0
28,3,6,8,47.000000,19.800000,5.574294,3.731706,1
28,1,4,2,28.000000,14.200000,0.437360,3.538640,1
46,1,6,19,31.000000,12.200000,1.985550,1.796450,0
30,2,4,8,15.000000,6.500000,0.350025,0.624975,0
39,2,15,19,32.000000,4.900000,0.421792,1.146208,0
40,3,5,3,220.000000,16.000000,8.166400,27.033600,1
44,2,18,4,74.000000,13.400000,4.521696,5.394304,0
30,1,0,8,19.000000,16.600000,0.624492,2.529508,1
24,2,3,0,19.000000,4.300000,0.358663,0.458337,0
32,1,10,13,32.000000,11.300000,1.167968,2.448032,0
29,2,3,8,15.000000,2.600000,0.146640,0.243360,0
40,2,2,1,36.000000,3.800000,0.277704,1.090296,0
41,2,8,21,43.000000,0.700000,0.085785,0.215215,0
22,1,1,3,17.000000,18.600000,0.806310,2.355690,0
38,1,10,8,34.000000,1.200000,0.036312,0.371688,0
37,2,6,13,62.000000,8.500000,1.185750,4.084250,0
41,3,18,6,71.000000,15.700000,6.565583,4.581417,1
41,3,7,6,56.000000,14.500000,0.373520,7.746480,1
39,1,2,15,22.000000,23.100000,1.915914,3.166086,1
24,2,0,2,15.000000,16.100000,0.321195,2.093805,1
32,3,9,10,51.000000,23.000000,2.686170,9.043830,0
21,3,0,1,26.000000,7.700000,1.529528,0.472472,0
29,1,13,7,27.000000,2.300000,0.068931,0.552069,0
35,2,14,3,82.000000,0.800000,0.468384,0.187616,0
29,1,6,7,21.000000,18.100000,1.109892,2.691108,0
41,2,2,22,30.000000,6.700000,0.112560,1.897440,0
37,1,0,18,18.000000,12.900000,1.583604,0.738396,1
32,2,3,13,47.000000,1.900000,0.428640,0.464360,0
36,5,5,12,20.000000,8.100000,0.729000,0.891000,0
39,2,18,9,44.000000,2.100000,0.367752,0.556248,0
36,1,18,9,67.000000,11.200000,5.245296,2.258704,0
46,3,22,4,99.000000,2.300000,0.826551,1.450449,0
34,1,13,11,51.000000,9.600000,1.875168,3.020832,0
27,1,7,4,26.000000,9.100000,0.641186,1.724814,0
43,1,8,11,45.000000,3.300000,0.677160,0.807840,0
33,1,14,8,72.000000,41.300000,15.016680,14.719320,1
39,2,20,17,101.000000,1.400000,0.340774,1.073226,0
29,1,1,4,17.000000,2.500000,0.131750,0.293250,0
34,4,7,15,40.000000,6.400000,0.949760,1.610240,0
26,1,1,0,21.000000,4.900000,0.608139,0.420861,0
31,1,15,2,60.000000,4.800000,0.803520,2.076480,0
26,1,10,6,24.000000,2.700000,0.311040,0.336960,0
28,1,12,7,45.000000,7.700000,1.853775,1.611225,0
48,1,13,20,50.000000,30.800000,6.113800,9.286200,1
39,2,2,12,46.000000,16.000000,4.003840,3.356160,1
37,1,3,3,25.000000,3.700000,0.275650,0.649350,0
52,5,9,0,70.000000,9.400000,1.329160,5.250840,1
48,1,3,11,27.000000,21.300000,1.403244,4.347756,0
26,1,7,3,22.000000,5.100000,0.208692,0.913308,0
46,5,15,0,126.000000,3.100000,0.476532,3.429468,0
31,1,7,10,23.000000,4.900000,0.225400,0.901600,0
34,1,13,8,56.000000,6.100000,0.864248,2.551752,0
40,1,22,4,95.000000,3.600000,0.632700,2.787300,0
24,3,2,5,16.000000,6.400000,0.270336,0.753664,1
33,1,2,14,44.000000,3.100000,0.525140,0.838860,0
53,4,5,29,78.000000,17.300000,6.935916,6.558084,1
47,3,9,1,52.000000,20.100000,2.539836,7.912164,1
35,1,5,5,32.000000,13.000000,0.174720,3.985280,0
34,1,14,8,28.000000,17.000000,1.137640,3.622360,0
49,1,11,5,39.000000,10.100000,2.457936,1.481064,0
26,2,0,7,28.000000,9.300000,1.270752,1.333248,0
23,1,2,2,16.000000,9.600000,0.804864,0.731136,1
23,2,0,4,21.000000,8.700000,0.454923,1.372077,0
38,2,4,13,56.000000,1.600000,0.441728,0.454272,0
28,2,5,2,37.000000,8.300000,1.123986,1.947014,0
30,3,0,8,65.000000,29.700000,3.899610,15.405390,1
34,1,18,10,34.000000,15.400000,2.099636,3.136364,0
50,2,16,14,71.000000,11.100000,1.662891,6.218109,0
29,1,12,2,40.000000,6.700000,1.632120,1.047880,0
42,3,0,9,64.000000,6.600000,0.278784,3.945216,0
31,1,13,12,27.000000,5.000000,0.237600,1.112400,0
39,1,10,4,31.000000,4.800000,0.184512,1.303488,0
45,2,21,26,132.000000,3.000000,2.558160,1.401840,0
45,1,22,24,91.000000,11.700000,1.256346,9.390654,0
36,1,14,17,53.000000,5.700000,1.888125,1.132875,0
25,4,0,6,24.000000,12.100000,1.597200,1.306800,1
29,2,1,7,29.000000,21.200000,2.330092,3.817908,1
30,2,8,4,56.000000,6.400000,0.333312,3.250688,0
31,1,1,1,24.000000,4.500000,0.217080,0.862920,0
43,1,4,2,29.000000,4.600000,0.053360,1.280640,0
32,2,11,4,57.000000,23.800000,5.439966,8.126034,1
47,1,19,7,50.000000,30.100000,3.175550,11.874450,0
46,1,1,15,21.000000,14.800000,1.376844,1.731156,1
43,2,16,10,83.000000,4.100000,0.258628,3.144372,0
48,1,3,7,24.000000,7.000000,0.764400,0.915600,0
